store_item,LightGBM_raw,XGBoost_raw,LightGBM_log1p,XGBoost_log1p,LightGBM_zscore,XGBoost_zscore
11_23,0.7442108871060487,0.837851875846919,0.7591628700791808,0.9050498370116148,0.8558511476100358,1.1672500349975048
11_24,0.5872750173756727,0.624288322213309,0.5715622733701315,0.5801385216739774,0.6590264181324252,0.7671279943270521
11_25,0.6900365938555247,0.7738637069127049,0.6779929963328297,0.6935976477207167,0.6505497077363438,0.6896395306575352
11_26,0.7047362713368507,0.7606799213859321,0.6386078271849293,0.6845541882518715,0.621503993759356,0.6915015495739799
11_27,0.5478622585617429,0.6020737844615373,0.5385332703225613,0.5633331845479901,0.5533025746120246,0.6152004178899322
11_28,0.8928836100972845,0.9934981039129595,0.8245219032618921,0.9258328086017781,0.8458413443396845,0.9961104950229892
11_29,0.8145896631656798,0.8570219279164613,0.8030050774240082,0.8050574473807534,0.8322750105267964,0.889322356202588
11_3,0.6038168932595939,0.6177923976747587,0.5613118461903011,0.6522374378289333,0.59935564959055,0.6597575798251388
11_30,0.7590420324798913,0.839765967016927,0.7676819684173796,0.7667422068532618,0.7437049710764803,0.79550774028315
11_4,0.5762877210320635,0.6717790954307035,0.5434535682391163,0.6017772210085309,0.5420152961465566,0.5969961638556273
11_5,0.6735114877706818,0.7265746628139925,0.6759027021154906,0.7103706782741903,0.6891363588611971,0.7818830828799573
11_6,0.7334302553609109,0.7703219492113514,0.7341833708120599,0.7389265101540115,0.7137328719565784,0.7452411284692002
11_7,0.9855624945587165,1.052226612409279,0.9900705714184438,1.246018904951122,0.9338362980515705,1.0770628730222633
11_8,0.649709770932453,0.6908322383742413,0.6220114039478946,0.657259314332562,0.6612351012565542,0.7312870584323238
11_9,0.7459148857582139,0.781626147587072,0.7229334099884513,0.8815137276655499,0.696248548046311,0.9600728409795274
12_1,0.6712393800547858,0.7493158449206015,0.6626835156621155,0.7096226359981419,0.6777488926618634,0.708176495333255
12_10,0.7619673974619056,0.853623118902747,0.7252144221000357,0.8411242416501862,0.801151580702656,1.0017168196323534
12_11,0.5050575077400165,0.5755072458229089,0.5088886175843539,0.5389016279158002,0.5259240303801235,0.5694301014339218
12_12,0.6852936649502026,0.7589822063993382,0.6421182989726694,0.7082996145431724,0.6601522322847758,0.6920816133863873
12_13,0.9624595361384114,1.0151699904249951,0.9872138303773749,1.1679049535911192,1.0323032638628356,1.07888396801384
12_14,0.8278155561020702,0.8973184776779219,0.8885604806440874,1.056345304873032,0.8182982635289392,1.2275096389960114
12_15,0.9127268490876911,0.9680377431231065,0.9153590332336039,1.099097802932612,0.8907794054655153,1.1508135725271036
12_16,0.6963931497127888,0.825086383307976,0.6267700368185823,0.7537039141380957,0.6644293312949701,0.7925911005052518
12_17,0.8133388774610101,0.8633090064053566,0.7672407182305415,0.8092708035036196,0.7398062826866381,0.8053942488023439
12_18,0.8000209488917461,0.8778576873108652,0.813191076607128,0.8151195009116812,0.7612253392931467,0.8857220489415764
12_19,0.6068475673238278,0.6181927647451169,0.6594106611515596,0.8131291366731505,0.6291052615930416,0.7874556648801327
12_2,0.6177719384949136,0.6671383331722816,0.5882773148597321,0.616456763416638,0.6239319857615006,0.7117108537301744
12_20,0.7299719900598718,0.7988970255065275,0.7200083081976563,0.7611246984833296,0.6844751285622569,0.8541771204814931
12_21,0.633828950073038,0.6631455408756772,0.627856409198384,0.6851739020116948,0.6581130678925384,0.7694230275213133
12_22,0.6629194253038087,0.7941791132273558,0.6369622221018848,0.7171029154053444,0.6381335837684958,0.7489211330369664
12_23,0.6521545028802305,0.7162402778997191,0.6535040236322593,0.7219781768708604,0.7329773593298597,0.9209343030890271
12_24,0.5689982769451484,0.6605916626874134,0.5384777234566047,0.5898406341822872,0.5489498193289722,0.6438159041303365
12_25,0.7968479520455352,0.9270310988440561,0.7345480315093464,0.8505203190871578,0.7612762160162275,0.8314427314201395
12_26,0.766773764176519,0.8476405002121232,0.7266198055943204,0.7923251793113973,0.7238586458016019,0.7316264329707624
12_27,0.7679821428304702,0.841104583029601,0.7199160197326804,0.7692413658433893,0.7098863887185738,0.746423830993805
12_28,0.8914523736713957,1.0132234735784749,0.8358100566247504,0.9616186113720321,0.8375323910767766,1.0148142668507332
12_29,0.7541680161560955,0.8460855783619928,0.7490525207076191,0.7745137520749116,0.7307890041888442,0.8076944540073336
12_3,0.7388848345134048,0.7761671760615536,0.7141025135060849,0.771689317832465,0.7451802486008177,0.9079648471422992
12_30,0.7963867155841796,1.0261957849407486,0.6913730639807715,0.7955683751847826,0.7319918511225824,0.714558443838661
12_4,0.6556333100504858,0.772862412176668,0.663582260174257,0.6956508332780512,0.6646556519565785,0.6761869164915713
12_5,0.6936776179186761,0.7511038764428407,0.659822276540338,0.6891459304566253,0.6694433516182425,0.7490453829706551
12_6,0.5606512394112299,0.6859521835008221,0.5417807869274939,0.6087603624082211,0.5468029732353874,0.5564076023550949
12_7,0.8581299879507674,0.9344763064031656,0.926095535143569,1.2368445065191394,0.8745426453622634,1.038121533535853
12_8,0.7400166902444305,0.8085910795579621,0.7264419185196046,0.7681863474837732,0.7381075822561805,0.8228250680390716
12_9,0.6986432476704815,0.7610263641506068,0.6967962894183589,0.8328063029436794,0.7234622090183332,0.9330705918903192
1_1,0.5881405569540297,0.6112008364792305,0.5724081167361047,0.634756757320467,0.5681002275519063,0.6484425793280091
1_10,0.8774092546360545,0.9442869325289193,0.8861257008642904,1.0016094917224336,0.8707961542683829,1.0520218025016632
1_11,0.6511503433157938,0.6691061979616257,0.6301425150587918,0.6606369927946573,0.651285360938232,0.6978437733796531
