store_item,LightGBM_full,XGBoost_full,LightGBM_no_weather,XGBoost_no_weather,LightGBM_no_calendar,XGBoost_no_calendar,LightGBM_no_promotion,XGBoost_no_promotion
2_13,1.0743186972050383,1.1266804190062674,1.0740269665734408,1.1323547467987989,1.1255250822547587,1.1033330135950932,1.131820521628469,1.1659115897734595
2_14,0.7344528344717233,0.7968817553585016,0.7761260164374721,0.8201769530003299,0.844761631313725,0.8408726243395911,0.738969932325885,0.8186325571725489
2_15,0.8182208327558563,0.8731270228930019,0.8762096930463168,0.8974794004217078,0.8703143017846839,0.8777955258566742,0.8098668746014174,0.8653522833699558
2_16,0.6415619203471339,0.7251071569366301,0.6645518777050857,0.7743151116063814,0.7503219475069253,0.7455890084909522,0.6189753829340572,0.7373542499116084
2_17,0.6069588717714816,0.6589357682631083,0.6100219411438158,0.6917207418310761,0.686029415872766,0.7037955184036524,0.6199263241891404,0.7262059098919351
2_18,0.8430349193304564,0.9323670819334731,0.9022353682133144,0.9606881835396729,0.9392994065286798,0.9553164151751948,0.8906293360236547,1.0206186112977937
2_19,0.8728064333452609,0.9818110135609036,0.8679801100094233,0.9953665324631364,0.9292619764821649,1.0009052315976452,0.9148258565571766,1.028370498126097
2_2,0.6274316442129262,0.6313930343309708,0.6237111414715941,0.6319392852989235,0.6683878385331236,0.6657094345264348,0.6483587196232987,0.6777290146940946
2_20,0.655112546989163,0.6600443491664372,0.6561278726130026,0.6472130708042603,0.7002410861926679,0.7019805730014531,0.6914377614117099,0.7308187639437306
2_21,0.612757160800797,0.6056639752615866,0.6077004174456221,0.6188588778214715,0.6670133007288108,0.6670381858868358,0.6201171554088407,0.6725163496813322
2_22,0.5159906840615073,0.5480927994904412,0.5169210032566445,0.568574657104554,0.5688825043491564,0.559037911347865,0.5422116391730422,0.597598155807797
2_23,0.8056546205936782,0.8547088185669043,0.8056673262095487,0.8581044136631304,0.9527807639089612,0.9592859554430284,0.8189641507729819,0.8486978536673322
2_24,0.6127169324630751,0.6377835685896021,0.6176663779965077,0.6583160973452762,0.6781098143730296,0.6937241218724967,0.6219455856980389,0.6889789614815809
2_25,0.6501522082521678,0.7048294008974457,0.6609500238783137,0.7393946663350136,0.7385995656039975,0.7315300267181043,0.6568178258616776,0.7536529697748672
2_26,0.6561415176358957,0.704993516608218,0.655490551117582,0.7154664592389273,0.7072998576018952,0.7223724669113867,0.661814625179006,0.7437959860769359
2_27,0.7424292129124295,0.7575805702881764,0.7409882162312313,0.7704095417853054,0.8118842787191618,0.8041354262384925,0.7179476581844709,0.7622283495222515
2_28,0.9355697937671855,0.9635974759259713,0.9543497176218917,0.9989507186314865,0.9878920700932587,0.9838052588393398,0.9223560168927756,0.9926987790401998
2_29,0.7501290671911142,0.7926529600863079,0.7396666772130025,0.857766665978604,0.7828033852544007,0.7972577989915488,0.7523434600242255,0.8288727749244069
2_3,0.6682101661781756,0.7187960426056197,0.6836253906036477,0.7358695012542156,0.7636027654886759,0.7784951536592659,0.6507403475716759,0.7377997111964395
2_30,0.6265543058404703,0.7707189036948341,0.63786373016249,0.8765886292829519,0.6591355762368913,0.6577022510021722,0.6096549382717733,0.7985838455632136
2_4,0.6107186231320277,0.6912303007544102,0.6230656006419008,0.7365147215274027,0.6982079565246522,0.7017978216834568,0.6302906479659257,0.7277724180048261
2_5,0.6775531365752597,0.726562159675644,0.6795059381147677,0.740446293016961,0.7872732484052682,0.8012668172664325,0.669641089563925,0.7567247393652358
2_6,0.7054003830454798,0.7632780436054448,0.7163356289904184,0.8095625587530789,0.7481296459230388,0.7518364780334374,0.7167164241132757,0.8079223572510912
2_7,1.0811442205290138,1.1691467390475292,1.0488915494795719,1.1992814259962805,1.1377093898157304,1.1231091540642706,1.0523419331390218,1.1720262647961928
2_8,0.7554814232730224,0.7615041546250171,0.7731140897576507,0.7817200875695332,0.8344882952590359,0.8316712696901409,0.7167191921162471,0.7446109375455039
2_9,0.9225252323825445,0.919883226545551,0.9350228158486988,0.9408996525656983,1.0828507240946228,1.089900251426341,0.8807464897385161,0.9534286195131895
3_1,0.6400232952358,0.6855865877378524,0.6441698981888474,0.7111344318090276,0.6951135418353985,0.7058233961760347,0.6061686301873207,0.6633879698007994
3_10,0.8690485333908011,1.002411973404918,0.9421053106894635,1.0145598174379102,0.9496976981949897,0.9955867430972436,0.9435868098472249,1.119264185678093
